Reading xml/1998statistics.xml... done.
RESULT time=4.40 job=tt-repair file=xml/factor4.8.xml
RESULT time=4.40 job=tt-repair file=xml/factor4.8.xml
RESULT time=4.41 job=tt-repair file=xml/factor4.8.xml

Reading xml/factor4.xml... done.
RESULT time=3.67 job=tt-repair file=xml/factor4.xml
RESULT time=3.67 job=tt-repair file=xml/factor4.xml
RESULT time=3.66 job=tt-repair file=xml/factor4.xml
RESULT time=3.68 job=tt-repair file=xml/factor4.xml
RESULT time=3.65 job=tt-repair file=xml/factor4.xml
RESULT time=3.69 job=tt-repair file=xml/factor4.xml
RESULT time=3.69 job=tt-repair file=xml/factor4.xml
RESULT time=3.69 job=tt-repair file=xml/factor4.xml
RESULT time=3.67 job=tt-repair file=xml/factor4.xml
RESULT time=3.66 job=tt-repair file=xml/factor4.xml

Reading xml/factor7.xml... done.
RESULT time=6.40 job=tt-repair file=xml/factor7.xml
RESULT time=6.42 job=tt-repair file=xml/factor7.xml
RESULT time=6.41 job=tt-repair file=xml/factor7.xml
RESULT time=6.43 job=tt-repair file=xml/factor7.xml
RESULT time=6.39 job=tt-repair file=xml/factor7.xml
RESULT time=6.40 job=tt-repair file=xml/factor7.xml
RESULT time=6.42 job=tt-repair file=xml/factor7.xml
RESULT time=6.40 job=tt-repair file=xml/factor7.xml
RESULT time=6.40 job=tt-repair file=xml/factor7.xml
RESULT time=6.39 job=tt-repair file=xml/factor7.xml

Reading xml/JST_gene.chr1.xml... done.
RESULT time=0.06 job=tt-repair file=xml/JST_gene.chr1.xml
RESULT time=0.06 job=tt-repair file=xml/JST_gene.chr1.xml
RESULT time=0.06 job=tt-repair file=xml/JST_gene.chr1.xml
RESULT time=0.06 job=tt-repair file=xml/JST_gene.chr1.xml
RESULT time=0.06 job=tt-repair file=xml/JST_gene.chr1.xml
RESULT time=0.06 job=tt-repair file=xml/JST_gene.chr1.xml
RESULT time=0.06 job=tt-repair file=xml/JST_gene.chr1.xml
RESULT time=0.06 job=tt-repair file=xml/JST_gene.chr1.xml
RESULT time=0.06 job=tt-repair file=xml/JST_gene.chr1.xml
RESULT time=0.06 job=tt-repair file=xml/JST_gene.chr1.xml

Reading xml/JST_snp.chr1.xml... done.
RESULT time=0.34 job=tt-repair file=xml/JST_snp.chr1.xml
RESULT time=0.34 job=tt-repair file=xml/JST_snp.chr1.xml
RESULT time=0.34 job=tt-repair file=xml/JST_snp.chr1.xml
RESULT time=0.34 job=tt-repair file=xml/JST_snp.chr1.xml
RESULT time=0.34 job=tt-repair file=xml/JST_snp.chr1.xml
RESULT time=0.34 job=tt-repair file=xml/JST_snp.chr1.xml
RESULT time=0.35 job=tt-repair file=xml/JST_snp.chr1.xml
RESULT time=0.34 job=tt-repair file=xml/JST_snp.chr1.xml
RESULT time=0.34 job=tt-repair file=xml/JST_snp.chr1.xml
RESULT time=0.34 job=tt-repair file=xml/JST_snp.chr1.xml

Reading xml/nasa.xml... done.
RESULT time=0.21 job=tt-repair file=xml/nasa.xml
RESULT time=0.21 job=tt-repair file=xml/nasa.xml
RESULT time=0.21 job=tt-repair file=xml/nasa.xml
RESULT time=0.21 job=tt-repair file=xml/nasa.xml
RESULT time=0.21 job=tt-repair file=xml/nasa.xml
RESULT time=0.21 job=tt-repair file=xml/nasa.xml
RESULT time=0.21 job=tt-repair file=xml/nasa.xml
RESULT time=0.21 job=tt-repair file=xml/nasa.xml
RESULT time=0.21 job=tt-repair file=xml/nasa.xml
RESULT time=0.21 job=tt-repair file=xml/nasa.xml

Reading xml/NCBI_gene.chr1.xml... done.
RESULT time=0.47 job=tt-repair file=xml/NCBI_gene.chr1.xml
RESULT time=0.48 job=tt-repair file=xml/NCBI_gene.chr1.xml
RESULT time=0.48 job=tt-repair file=xml/NCBI_gene.chr1.xml
RESULT time=0.48 job=tt-repair file=xml/NCBI_gene.chr1.xml
RESULT time=0.47 job=tt-repair file=xml/NCBI_gene.chr1.xml
RESULT time=0.47 job=tt-repair file=xml/NCBI_gene.chr1.xml
RESULT time=0.47 job=tt-repair file=xml/NCBI_gene.chr1.xml
RESULT time=0.47 job=tt-repair file=xml/NCBI_gene.chr1.xml
RESULT time=0.48 job=tt-repair file=xml/NCBI_gene.chr1.xml
RESULT time=0.48 job=tt-repair file=xml/NCBI_gene.chr1.xml

Reading xml/proteins.xml... done.
RESULT time=11.01 job=tt-repair file=xml/proteins.xml
RESULT time=10.97 job=tt-repair file=xml/proteins.xml
RESULT time=11.01 job=tt-repair file=xml/proteins.xml
RESULT time=11.00 job=tt-repair file=xml/proteins.xml
RESULT time=10.98 job=tt-repair file=xml/proteins.xml
RESULT time=10.99 job=tt-repair file=xml/proteins.xml
RESULT time=11.01 job=tt-repair file=xml/proteins.xml
RESULT time=11.04 job=tt-repair file=xml/proteins.xml
RESULT time=11.03 job=tt-repair file=xml/proteins.xml
RESULT time=11.02 job=tt-repair file=xml/proteins.xml

Reading xml/SwissProt.xml... done.
RESULT time=1.98 job=tt-repair file=xml/SwissProt.xml
RESULT time=1.98 job=tt-repair file=xml/SwissProt.xml
RESULT time=1.98 job=tt-repair file=xml/SwissProt.xml
RESULT time=1.98 job=tt-repair file=xml/SwissProt.xml
RESULT time=1.98 job=tt-repair file=xml/SwissProt.xml
RESULT time=1.98 job=tt-repair file=xml/SwissProt.xml
RESULT time=1.99 job=tt-repair file=xml/SwissProt.xml
RESULT time=1.98 job=tt-repair file=xml/SwissProt.xml
RESULT time=1.98 job=tt-repair file=xml/SwissProt.xml
RESULT time=2.00 job=tt-repair file=xml/SwissProt.xml

Reading xml/treebank_e.xml... done.
RESULT time=1.85 job=tt-repair file=xml/treebank_e.xml
RESULT time=1.86 job=tt-repair file=xml/treebank_e.xml
RESULT time=1.86 job=tt-repair file=xml/treebank_e.xml
RESULT time=1.85 job=tt-repair file=xml/treebank_e.xml
RESULT time=1.88 job=tt-repair file=xml/treebank_e.xml
RESULT time=1.86 job=tt-repair file=xml/treebank_e.xml
RESULT time=1.86 job=tt-repair file=xml/treebank_e.xml
RESULT time=1.87 job=tt-repair file=xml/treebank_e.xml
RESULT time=1.85 job=tt-repair file=xml/treebank_e.xml
RESULT time=1.87 job=tt-repair file=xml/treebank_e.xml

Reading xml/uwm.xml... done.
RESULT time=0.02 job=tt-repair file=xml/uwm.xml
RESULT time=0.02 job=tt-repair file=xml/uwm.xml
RESULT time=0.02 job=tt-repair file=xml/uwm.xml
RESULT time=0.02 job=tt-repair file=xml/uwm.xml
RESULT time=0.02 job=tt-repair file=xml/uwm.xml
RESULT time=0.02 job=tt-repair file=xml/uwm.xml
RESULT time=0.02 job=tt-repair file=xml/uwm.xml
RESULT time=0.02 job=tt-repair file=xml/uwm.xml
RESULT time=0.02 job=tt-repair file=xml/uwm.xml
RESULT time=0.02 job=tt-repair file=xml/uwm.xml

Reading xml/wiki.xml... done.
RESULT time=1.10 job=tt-repair file=xml/wiki.xml
RESULT time=1.09 job=tt-repair file=xml/wiki.xml
RESULT time=1.10 job=tt-repair file=xml/wiki.xml
RESULT time=1.09 job=tt-repair file=xml/wiki.xml
RESULT time=1.10 job=tt-repair file=xml/wiki.xml
RESULT time=1.11 job=tt-repair file=xml/wiki.xml
RESULT time=1.11 job=tt-repair file=xml/wiki.xml
RESULT time=1.09 job=tt-repair file=xml/wiki.xml
RESULT time=1.10 job=tt-repair file=xml/wiki.xml
RESULT time=1.10 job=tt-repair file=xml/wiki.xml

